Date,AIG,AMAT,BABA,BIDU,GOOGL,FB,ATHM,ABEV,AMZN,V,TSLA,VIS,AAPL,ATVI,AZN,BA,BAC,AMD,HFC,BMY,C,CELG,CHTR,CLF,JAZZ,COP,COST,COTY,CTL,CVS,CX,CZR,DHI,EA,EFC,EMR,ET,F,FCX,FDX,AR,GE,GGAL,GGB,GOLD,GOOG,GRPN,HAL,HBAN,IBM,IBN,INFY,INTC,ITUB,JNJ,JPM,KGC,KMI,KO,LLY,MDLZ,MGM,LVS,MRVL,MS,MSFT,NFLX,NKE,NLY,NOK,NTAP,NVDA,ORCL,PBR-A,PFE,QCOM,RF,RIG,RTN,S,SBUX,SIRI,SIX,SLB,SO,SPG,SR,SWN,T,TEVA,TGT,TSM,TWTR,TXN,VZ,WFC,WMB,XOM,YELP,VLO
2015/2/17,49.35511017,22.29777336,86.84999847,208.8099976,545.0100098,75.59999847,38.43796921,5.530515671,375.4299927,65.30037689,204.3500061,98.60787201,117.6367722,22.62463379,26.72069168,130.9231415,15.28915977,3.109999895,35.2654953,52.48816299,47.57715225,116.3199997,176.4499969,6.629011631,171.3999939,60.84612274,134.4068298,19.20028687,24.84023857,91.65655518,8.656626701,10.78999996,25.78319359,56.75999832,11.44968414,49.16886902,20.65481758,12.34867096,20.11014748,170.8298492,40.55250168,20.81703186,19.09276199,3.319308043,6.525491238,541.3536987,8.06000042,40.31996536,9.133011818,129.26474,9.800987244,6.708164692,30.28389359,6.312409878,88.16190338,52.37979507,2.720000029,34.24347305,35.52212906,62.81700134,33.76194763,20.82993698,47.0905304,15.0495739,32.97129059,39.40274429,67.137146,42.90707016,6.09458065,6.791758537,33.64493942,21.57592201,40.4785347,6.691324234,28.84059525,59.15537262,8.461361885,17.95228577,96.09384918,5.179999828,42.11426163,3.785516262,35.47742462,74.0351181,36.05694962,155.5358887,44.07299805,27.37999916,26.44717407,52.73730087,65.3392334,20.63724709,48.02999878,51.03153992,39.2506218,47.25502396,37.01797104,76.18704987,48.18999863,48.70967865
2015/2/18,49.10380554,22.27004814,86.73999786,207.1499939,542.6500244,76.70999908,38.29945374,5.547771931,373.3699951,64.87849426,204.4600067,99.19203949,118.4558105,22.54758263,26.6614933,132.0147247,14.98576641,3.079999924,35.42630768,52.40956879,47.32863998,118.4100037,174.2899933,6.657875538,171.6799927,59.32211685,134.1335297,19.20889664,23.75113869,92.14338684,8.535312653,10.85999966,25.64188957,57.61000061,11.47728634,49.63272476,20.53530312,12.42531967,20.43651199,171.0581665,39.6067276,20.8832016,18.92774773,3.346892595,6.63397789,538.22229,7.800000191,39.88863754,9.073267937,130.2525635,9.750378609,6.769367218,29.87417221,6.218635559,87.74056244,51.74356842,2.769999981,34.30854034,35.45416641,62.33420181,33.57110596,21.2394886,47.19184113,14.94826031,32.48012161,39.35754013,67.86571503,43.72915268,6.088882446,6.78331089,33.65383911,21.32526207,40.71860504,6.588953018,28.75719643,58.93813324,8.312761307,17.42254639,96.53582001,4.980000019,42.55815125,3.795248032,36.19651413,73.07730103,37.08623886,156.7217102,45.01382446,27.22999954,26.27954865,52.67253876,65.94452667,20.58725739,47.81999969,50.80356598,39.05908203,46.52960205,36.29476929,74.51674652,47.54000092,49.15753937
2015/2/19,49.346138,23.03703117,86.88999939,207.2400055,546.4500122,79.41999817,38.58638,5.496004105,379,64.87366486,211.7100067,99.36546326,118.2073364,22.46089745,28.40938187,134.267807,14.90302277,3.059999943,34.84234238,52.00782013,47.05250168,120.2099991,174.5299988,6.648253918,170.8000031,59.05058289,133.6233215,19.01939392,23.80180359,90.83339691,8.517982483,10.93000031,25.74551201,57.13999939,11.48280811,49.49778748,20.82213402,12.59395695,20.26373291,169.9830322,39.83834457,20.88253403,19.30630112,3.300918818,6.954013824,541.383606,7.869999886,39.75386429,9.081803322,131.6177673,9.463602066,6.899190426,29.82186699,6.14953804,88.39012909,51.62155914,2.75999999,34.1702652,35.77701569,62.4307518,33.61655045,21.37283134,47.12168884,15.10483742,32.44440079,39.33041,67.80000305,43.76652527,6.111666203,6.78331089,33.69835281,21.38310814,40.72784424,6.263228893,28.69881058,59.30577087,8.330243111,17.07919502,97.47385406,4.880000114,42.635952,3.7660532,37.20478821,72.44432831,36.57158279,153.11586,44.59473801,27.52000046,25.97476387,52.03414154,65.37334442,20.42896271,48.70000076,50.8912468,39.03512955,46.56373978,36.83903122,73.2312851,47.34000015,49.91228867
2015/2/20,49.56154633,23.22184181,86.63999939,209.6300049,541.7999878,79.90000153,38.31924438,5.487375736,383.6600037,65.81385803,217.1100006,100.3147964,119.1735992,22.45126534,28.67700005,138.2499847,15.05931664,3.059999943,34.79156876,52.85497284,47.6599884,123.4300003,175.8899994,6.696360111,172.4199982,59.01555634,134.4159546,19.14860153,23.44087982,90.90418243,8.630631447,10.93999958,25.73609161,57.66999817,11.52697277,49.48091507,21.64504814,12.570961,20.42691422,169.8403015,38.83466721,21.04952621,19.90810966,3.291724205,6.991988182,537.4743652,8.149999619,38.9630928,9.150086403,131.4250183,9.438298225,6.847261429,29.99621964,6.154475212,88.61994171,52.11833954,2.710000038,34.05640411,35.65807724,63.09789658,33.5983696,21.55379486,47.02818298,15.00352478,32.8105545,39.65591049,68.31428528,44.34104156,6.105971336,6.817101002,34.00997543,21.53736115,40.41390991,6.27253437,28.82391357,59.75695419,8.443878174,16.68679619,98.20440674,4.829999924,42.79153442,3.756322145,36.83743286,71.52814484,36.5320015,154.7292023,44.56051636,27.54999924,25.96714973,52.320961,65.53531647,20.3623085,49.11000061,51.31212616,39.08302307,46.79418182,36.51098251,73.62428284,47.79000092,50.36014938
2015/2/23,48.97815704,23.01854897,85.47000122,206.4299927,535,78.83999634,38.45775986,5.556400299,380.1400146,65.81628418,207.3399963,99.99530792,122.3945084,22.509058,28.9780674,135.13237,14.89383125,3.059999943,35.44321823,53.52744675,47.23659515,123.8199997,175.8800049,6.398102283,173.1799927,58.61264801,135.1903687,19.33810425,23.19393539,91.39987946,8.717284203,10.84000015,25.56652641,57.54999924,11.58217621,49.53995895,21.59724236,12.55562878,19.76457787,169.6499939,38.74781036,21.01612663,20.93700218,3.199776411,6.894347191,530.4536133,8.18999958,38.8372879,9.107409477,130.8307495,9.261173248,6.711874485,29.42959595,6.189021587,88.54920959,51.72613907,2.720000029,34.1865387,35.55612946,62.40442657,33.61655045,21.4776001,45.75020599,14.81931973,32.39080811,39.91811371,67.40571594,44.37841797,6.105971336,6.732626438,34.28595352,21.36382294,40.42314148,6.132938385,28.682127,59.2723465,8.365207672,15.9510479,98.90795898,4.670000076,42.82357407,3.72712779,37.5799675,71.2449646,36.79328918,156.1812592,45.0822525,27.23999977,25.79190063,52.320961,65.38188934,20.1790123,48.47000122,51.09292221,38.92340469,47.0246048,36.64518356,72.87919617,47.34999847,51.8364563
2015/2/24,49.39998627,23.43437576,84.69000244,208.0599976,538.6500244,78.44999695,38.64574432,5.625423431,378.5899963,65.68610382,204.1100006,100.451683,121.6306839,22.67279434,28.98642921,134.8179779,15.05931664,3.109999895,34.54614639,53.66718674,47.77044296,123.1800003,177.7700043,6.532799721,176.1300049,58.76155853,135.0263672,19.21751404,23.4662056,91.48838043,8.951247215,10.80000019,26.02811813,57.63000107,11.58217621,49.37971115,21.56310081,12.54030132,20.36932182,169.1742554,38.03364944,21.19981575,21.11171722,3.291724205,6.823830605,534.6221924,8.079999924,38.74743271,9.354939461,132.3726807,9.261173248,6.815733433,29.99621964,6.391375065,89.00883484,53.00731277,2.710000038,34.30040741,35.79401779,62.23763275,33.63472748,20.83946228,43.75531006,14.90221214,32.8105545,39.8638649,67.83999634,44.56991577,6.066099167,6.76641655,34.3393898,21.59125328,40.51546478,6.505195618,28.64042282,59.63161469,8.452620506,15.64693642,99.38599396,4.630000114,42.76407623,3.804979801,36.97030258,71.05338287,37.12582779,153.3175354,45.0651474,27.73999977,25.94428825,52.53375626,65.60352325,20.86219978,48.68999863,51.69792557,39.28255081,47.25502396,36.75702286,73.21488953,47.29000092,51.09000015
2015/2/25,49.18457794,23.19411659,86.19000244,203.5299988,547.3300171,79.55999756,38.38850021,5.496004105,385.3699951,65.81628418,203.7599945,100.3695374,118.5202179,22.59573936,29.13278198,133.6215668,15.16044998,3.099999905,35.75635147,53.46631622,47.9453125,123.0999985,182.2100067,6.503936291,179.1000061,59.14692307,134.3613434,19.3036499,23.61817169,91.55918884,8.855928421,11.53999996,25.79261208,57.38999939,11.49102402,49.16886902,21.84650803,12.65527439,20.63809586,167.1190033,39.59707642,21.63400078,20.8593483,3.264139414,6.959979057,542.3809204,8.260000229,39.25063705,9.372011185,130.7504425,9.278042793,6.819442272,29.5952282,6.287731171,89.45963287,53.28619766,2.75,34.2516098,35.72603989,61.7636261,33.31664276,20.92518616,43.87219238,15.0495739,32.6765976,39.7734375,68.33285522,45.22385406,6.060404778,6.774864674,34.38389206,21.4267292,40.37697601,6.067793369,28.90732002,59.89064026,8.40891552,15.73522758,98.45697784,4.960000038,43.13474655,3.775784731,36.26684189,70.97009277,36.35781097,153.6563416,44.46644211,27.96999931,26.06619644,52.29319763,65.77403259,20.86219978,48.54999924,51.82068634,39.26658249,47.22089767,36.81666946,73.36226654,47.15000153,50.81632233
2015/2/26,49.3012619,23.01854897,85.37000275,205.8800049,559.289978,80.41000366,39.18991089,5.496004105,384.7999878,65.99468231,207.1900024,100.0044098,120.0202484,22.48979378,28.85680389,132.5037537,14.74673271,3.079999924,37.58437347,53.67592239,48.23985672,123.3499985,182.1799927,6.523178101,175.1900024,57.67547989,133.6051331,19.10553169,23.68149376,92.20536041,8.899254799,10.78999996,25.64188957,57.72999954,11.51950836,48.86524963,21.49139214,12.55562878,20.26373291,166.1294708,39.10488892,21.61730576,19.92752457,3.227360487,6.949088573,553.9591064,8.300000191,38.37002563,9.363472939,129.1924591,9.379256248,6.78420496,29.33370781,6.272926331,90.86503601,53.66968155,2.769999981,33.52769089,36.07437897,61.4739418,33.37116623,20.90613747,44.18389893,14.8285284,32.20328903,39.8367424,69.00428772,45.56680679,6.020533085,6.76641655,34.4106102,21.48479843,40.52470779,5.890971184,28.8489399,60.16635132,8.40891552,15.48997784,97.95188904,4.769999981,43.26745605,3.795248032,35.98546982,69.87069702,36.23112869,150.9620056,44.25262833,26.35000038,26.2871666,52.26545334,65.56089783,20.56226349,49.40999985,52.1012764,39.40226364,47.06727219,36.39168549,72.58442688,47.75,51.39687729
2015/2/27,49.66028214,23.14791489,85.12000275,203.75,562.6300049,78.97000122,37.78496933,5.565028191,380.1600037,65.40644073,203.3399963,99.47502136,118.2165375,22.46089745,28.81080818,131.7352753,14.53527641,3.109999895,37.2289238,53.20431137,48.24906921,121.5299988,180.6000061,6.580905437,170.0899963,57.10616684,133.887558,19.46731758,23.97276497,91.93980408,8.79527092,10.60000038,25.72667313,57.18000031,11.66763687,48.84838486,21.80894852,12.5249691,20.76288414,168.3940277,38.07225418,21.70079994,20.1022377,3.282529116,7.090684414,556.8710938,8.180000305,38.58568573,9.33786869,130.0517731,9.826288223,6.808314323,28.98501205,6.307470798,90.60871887,53.40821457,2.839999914,33.35688019,36.78805923,61.5968399,33.57110596,20.69659615,44.33975601,14.84694958,31.9621563,39.64686203,67.84428406,45.62789536,6.049011707,6.76641655,34.4106102,21.34930992,40.46008301,6.244615078,28.62375069,60.58411789,8.400173187,15.82351589,98.10521698,5.119999886,42.78238678,3.785516262,35.39925766,70.09559631,36.25489426,153.5595245,44.26972198,25.07999992,26.33288193,52.7558136,65.50121307,20.4372921,48.08000183,51.55763626,39.46610641,46.76003265,36.56315994,72.49436951,48,51.16464996
2015/3/2,49.94747925,23.68387413,84,205.0399933,575.0200195,79.75,38.10157394,5.461858749,385.6600037,67.0891571,197.3300018,100.3786697,118.7962952,22.39347649,28.73972321,134.3114929,14.71915245,3.210000038,34.81695938,54.40953827,49.2339325,120.3099976,185.9499969,6.503936291,174.4199982,56.40549088,134.7803802,19.84632111,23.82712936,92.22304535,8.803936958,11.02000046,25.56652641,57.45000076,11.58217525,49.19417953,21.68260193,12.70126915,20.28292656,168.2227631,36.69219971,21.80099678,20.49050331,3.117023706,6.949088573,569.7756958,8.130000114,38.79323578,9.354939461,128.8792419,9.927503586,6.787912846,29.69111633,6.18833828,91.23627472,53.83527374,2.779999971,33.21047974,36.70308685,62.4307518,33.52566528,20.82993698,44.48780823,15.11404705,32.3640213,39.67398834,68.60713959,46.39368057,6.043315887,6.825548649,34.34828949,21.871912,40.65397644,6.049180508,28.99906158,61.0631485,8.478841782,16.1668663,99.62049866,5.090000153,43.12101364,3.853635788,36.51696777,70.47872162,35.52646637,153.3014069,43.6197052,24.96999931,26.39383316,52.88534164,66.22587585,20.52060509,48.15000153,52.55722809,39.48207474,47.40864944,36.55570602,72.08498383,47.86000061,48.65991211
